automaton+Noun+Pl	automata
automaton+Noun+Sg	automaton
cat+Noun+Pl	cats
cat+Noun+Sg	cat
cherub+Noun+Pl	cherubim
cherub+Noun+Pl	cherubs
cherub+Noun+Sg	cherub
deer+Noun+Pl	deer
deer+Noun+Sg	deer
dish+Noun+Pl	dishes
dish+Noun+Sg	dish
dog+Noun+Pl	dogs
dog+Noun+Sg	dog
fish+Noun+Pl	fish
fish+Noun+Pl	fishes
fish+Noun+Sg	fish
fox+Noun+Pl	foxes
fox+Noun+Sg	fox
kibbutz+Noun+Pl	kibbutzim
kibbutz+Noun+Sg	kibbutz
money+Noun+Pl	moneys
money+Noun+Pl	monies
money+Noun+Sg	money
octopus+Noun+Pl	octopi
octopus+Noun+Pl	octopuses
octopus+Noun+Sg	octopus
sheep+Noun+Pl	sheep
sheep+Noun+Sg	sheep
